actor,movie_or_TV_name
Park Seo-jun,"Kill Me, Heal Me"
Park Seo-jun,Mama 
Park Seo-jun,Witch’s Romance
Park Seo-jun,One Warm Word
Park Seo-jun,The Sleeping Witch
Park Seo-jun,Home Alone
Park Seo-jun,Family
Park Seo-jun,Baeksang Arts Awards
Park Seo-jun,Perfect Game
Park Seo-jun,Dream High
Andreas Fronk,Hunt
Andreas Fronk,Carter
Shim Soo-mi,Candlelight Revolution
Shim Soo-mi,Parasite
Shim Soo-mi,"My Room, Row 1"
Seo Bok-hyeon,Parasite
Seo Bok-hyeon,JTBC Newsroom
Kwak Sin-ae,Parasite
Kwak Sin-ae,Stay With Me
Kwak Sin-ae,RV: Resurrected Victims
Kwak Sin-ae,Vanishing Time: A Boy Who Returned
Kwak Sin-ae,A Millionaire On The Run
Kwak Sin-ae,Couples
Kwak Sin-ae,Modern Boy
Park Seo-jun,Running Man
Park Seo-jun,Melon Music Awards
Park Seo-jun,You Hee-yeol's Sketchbook
Andreas Fronk,Seobok: Project Clone
Andreas Fronk,Parasite
Andreas Fronk,Take Point
Andreas Fronk,Steel Rain
Andreas Fronk,Man of Will
Andreas Fronk,V.I.P.
Andreas Fronk,Okja
Andreas Fronk,The Merciless
Lee Si-hoon,The Interest of Love
Lee Si-hoon,Alienoid
Lee Si-hoon,Parallel Adventure of Madam Mizy
Lee Si-hoon,O’PENing
Lee Si-hoon,All of Us Are Dead
Lee Si-hoon,Please Don't Date Him
Lee Si-hoon,Forest
Lee Si-hoon,Parasite
Lee Si-hoon,The Merciless
Lee Si-hoon,Tone-Deaf Clinic
Ko Kwan-jae,Our Midnight
Ko Kwan-jae,Good Person
Ko Kwan-jae,Salvation
Park Seo-jun,1 Night 2 Days
Park Seo-jun,SBS Drama Awards
Baek Seung-hwan,Ko Bongsoo: Director's Collection
Baek Seung-hwan,Parasite
Baek Seung-hwan,Miss & Mrs. Cops
Baek Seung-hwan,Believer
Baek Seung-hwan,Train to Busan
Ko Kwan-jae,Parasite
Ko Kwan-jae,The Land on the Waves
Park Hye-sook,Young-hee
Park Hye-sook,The Beast
Park Hye-sook,Parasite
Park Hye-sook,Zombie for Sale
Riccardo Ferraresso,Parasite
Kim Bo-ryeong,Judgment Night
Kim Bo-ryeong,Parasite
Lee Ji-hye,Pachinko
Lee Ji-hye,Werther
Lee Ji-hye,Parasite
Lee Joo-hyung,Parasite
Lee Joo-hyung,Longing Heart
Lee Joo-hyung,Madame Antoine: The Love Therapist
Lee Joo-hyung,Tomorrow's Cantabile
Kim Bo-ryeong,The Sound of Memories
Yoon Hye-ree,Crazy Love
Yoon Hye-ree,The Silent Sea
Yoon Hye-ree,Beyond You
Yoon Hye-ree,Shades of the Heart
Yoon Hye-ree,Josée
Yoon Hye-ree,Plant Life
Yoon Hye-ree,After the Rain
Yoon Hye-ree,"Today, Together"
Yoon Hye-ree,Hello
Yoon Hye-ree,Finding Little Star
Yoon Hye-ree,A Midday Picnic
Yoon Hye-ree,Parasite
Yoon Hye-ree,Let Us Meet Now
Anna Elisabeth Rihlmann,So Not Worth It
Yoon Hye-ree,Between the Seasons
Yoon Hye-ree,A Hand-written Poster
Anna Elisabeth Rihlmann,Parasite
Anna Elisabeth Rihlmann,"Suh-Suh Pyoung, Slowly and Peacefully"
Cho Jae-myung,Parasite
Lee Dong-yong,Adulting at Eighteen
Lee Dong-yong,Hellbound
Lee Dong-yong,Chain
Lee Dong-yong,Squid Game
Lee Dong-yong,Miracle: Letters to the President
Lee Dong-yong,My Roommate Is a Gumiho
Lee Dong-yong,Forbidden Dream
Lee Dong-yong,The Tale of Nokdu
Lee Dong-yong,The Battle: Roar to Victory
Lee Dong-yong,Parasite
Lee Dong-yong,MAL·MO·E: The Secret Mission
Lee Dong-yong,I Can Speak
Lee Dong-yong,Tunnel
Lee Dong-yong,The Spy
Lee Dong-yong,Sea Fog
Lee Dong-yong,Kundo: Age of the Rampant
Lee Dong-yong,The Scam
Lee Dong-yong,Secret Sunshine
Lee Dong-yong,The Host
Lee Dong-yong,Memories of Murder
Yoon Young-woo,JUNG_E
Yoon Young-woo,Parasite
Yoon Young-woo,Will You Be There
Kim Gyu-baek,Hellbound
Kim Gyu-baek,Okay! Madam
Kim Gyu-baek,Peninsula
Kim Gyu-baek,The Battle: Roar to Victory
Kim Gyu-baek,Parasite
Kim Gyu-baek,Swing Kids
Kim Gyu-baek,Monstrum
Kim Gyu-baek,The Spy Gone North
Kim Gyu-baek,Heung-boo: The Revolutionist
Kim Gyu-baek,Drama Stage
Kim Gyu-baek,Midnight Runners
Kim Gyu-baek,The Battleship Island
Jeon Eun-mi,Parasite
Jeon Eun-mi,My First Client
Jeon Eun-mi,High Society
Kim Geon,Parasite
Kim Geon,The Dude in Me
Kim Geon,Purpose of Reunion
Jung Yi-seo,Her Secret Hobby
Jung Yi-seo,The King of Desert
Jung Yi-seo,Decision to Leave
Jung Yi-seo,All of Us Are Dead
Jung Yi-seo,Snowdrop
Jung Yi-seo,Atonement
Jung Yi-seo,Mine
Jung Yi-seo,Josée
Jung Yi-seo,Samjin Company English Class
Jung Yi-seo,Tale of the Nine Tailed
Jung Yi-seo,On July 7
Jung Yi-seo,Goodbye B1
Jung Yi-seo,Parasite
Jung Yi-seo,TURN
Jung Yi-seo,My Ex Diary
Jung Yi-seo,My Ex Diary
Jung Yi-seo,Duck Town
Jung Yi-seo,A Walk
Jung Yi-seo,Real
Jung Yi-seo,Soybean Oil Errands
Jung Yi-seo,"K-Bank Launching Ad ""Common Sense Wins"""
Jung Yi-seo,Voice
Jung Yi-seo,Maybe France
Jung Yi-seo,Good Morning Vietnam
Park Keun-rok,Dark Hole
Park Keun-rok,Crazy Romance
Park Keun-rok,Designated Survivor: 60 Days
Park Keun-rok,Parasite
Park Keun-rok,A Boy and Sungreen
Park Keun-rok,Okja
Park Keun-rok,Yongsoon
Park Keun-rok,One-Line
Park Keun-rok,We Made It
Jung Ji-so,Holy Night: Demon Hunters
Jung Ji-so,Midnight Sun
Jung Ji-so,The Glory
Jung Ji-so,Men of Plastic
Jung Ji-so,Curtain Call
Jung Ji-so,Hellbound
Jung Ji-so,The Cursed: Dead Man’s Prey
Jung Ji-so,Doom at Your Service
Jung Ji-so,Imitation
Jung Ji-so,The Cursed
Jung Yi-seo,Kundo: Age of the Rampant
Jung Yi-seo,KBS Drama Special
Ahn Seong-bong,Noryang: Sea of Death
Ahn Seong-bong,The Night Owl
Ahn Seong-bong,Hansan: Rising Dragon
Ahn Seong-bong,Decision to Leave
Jang Hye-jin,Preterm Infant
Park Keun-rok,Our Love Story
Park Keun-rok,The Beauty Inside
Park Keun-rok,Socialphobia
Park Keun-rok,Set Me Free
Park Keun-rok,Keep quiet
Park Keun-rok,Nice Shorts! 2011
Jung Ji-so,How Do You Play?
Jung Ji-so,Parasite
Jung Ji-so,W: Two Worlds Apart
Jung Ji-so,The Tiger
Jung Ji-so,Hwajung
Jung Ji-so,"Hyde, Jekyll, Me"
Jung Ji-so,Daughter
Jung Ji-so,The Spring Day of My Life
Jung Ji-so,Empress Ki
Jung Ji-so,The Blade and Petal
Jung Ji-so,난감스쿨
Jung Ji-so,May Queen
Ahn Seong-bong,The Veil
Ahn Seong-bong,Secret Zoo
Ahn Seong-bong,The Beast
Ahn Seong-bong,Parasite
Ahn Seong-bong,Miss & Mrs. Cops
Ahn Seong-bong,Innocent Witness
Ahn Seong-bong,Hit-and-Run Squad
Ahn Seong-bong,Take Point
Ahn Seong-bong,The Negotiation
Ahn Seong-bong,Feng Shui
Ahn Seong-bong,Keys to the Heart
Ahn Seong-bong,Heart Blackened
Ahn Seong-bong,Okja
Jang Hye-jin,The Law Cafe
Jang Hye-jin,Green Mothers' Club
Jang Hye-jin,The Red Sleeve
Jang Hye-jin,Reflection of You
Jang Hye-jin,My Lovely Angel
Jang Hye-jin,"Next Entertainment,  Visionary"
Jang Hye-jin,True Beauty
Jeong Ik-han,Parasite
Jeong Ik-han,Bad Papa
Park So-dam,Death's Game
Park So-dam,Phantom
Park So-dam,Special Delivery
Park So-dam,Gamsung Camping
Park So-dam,Record of Youth
Park So-dam,Fukuoka
Park So-dam,제34회 골든디스크어워즈 with 틱톡
Park So-dam,Three Meals a Day: Mountain Village
Park So-dam,Parasite
Park So-dam,The Underdog
Choi Woo-shik,Murder DIEary
Choi Woo-shik,Wonderland
Choi Woo-shik,Jinny's Kitchen
Choi Woo-shik,In the SOOP: Friendcation
Choi Woo-shik,The Policeman's Lineage
Choi Woo-shik,Our Beloved Summer
Jang Hye-jin,More Than Family
Park So-dam,Ode to the Goose
Park So-dam,Man of Will
Park So-dam,48 Hours
Park So-dam,Cinderella and Four Knights
Park So-dam,Run-Off
Park So-dam,Beautiful Mind
Park So-dam,Snow Paths
Park So-dam,The Priests
Park So-dam,The Vampire Lives Next Door to Us
Park So-dam,My First Time
Park So-dam,The Throne
Park So-dam,Crimson Moon
Park So-dam,Veteran
Park So-dam,The Silenced
Choi Woo-shik,Youn Stay
Choi Woo-shik,Our Little Summer Vacation
Choi Woo-shik,Time to Hunt
Choi Woo-shik,The Divine Fury
Choi Woo-shik,AORB
Lee Sun-kyun,Killing Romance
Jang Hye-jin,Birthcare Center
Jang Hye-jin,Into The Ring
Jang Hye-jin,How to Buy a Friend
Jang Hye-jin,Human Luwak
Jang Hye-jin,Crash Landing on You
Jang Hye-jin,Family Affair
Jang Hye-jin,The House of Us
Jang Hye-jin,Parasite
Jang Hye-jin,Second Life
Jang Hye-jin,Youngju
Jang Hye-jin,Adulthood
Jang Hye-jin,Mothers
Jang Hye-jin,Yongsoon
Jang Hye-jin,The World of Us
Jang Hye-jin,Sweet Temptation
Jung Hyeon-jun,Special Delivery
Jung Hyeon-jun,Moonshine
Jung Hyeon-jun,Mine
Jung Hyeon-jun,Best Friend
Jung Hyeon-jun,The Goddess of Revenge
Park So-dam,C'est Si Bon
Park So-dam,Beautiful Deathbed
Park So-dam,The Royal Tailor
Park So-dam,The Youth
Park So-dam,삼시세끼
Park So-dam,Scarlet Innocence
Park So-dam,Suzi
Park So-dam,One on One
Park So-dam,The Legacy
Park So-dam,INGtoogi: The Battle of Internet Trolls
Park So-dam,Steel Cold Winter
Park So-dam,No More No Less
Park So-dam,Most Ordinary Existence
Park So-dam,The Oscars
Choi Woo-shik,Parasite
Choi Woo-shik,Rosebud
Choi Woo-shik,Monstrum
Choi Woo-shik,You Quiz On The Block
Choi Woo-shik,The Witch: Part 1. The Subversion
Choi Woo-shik,Amazing Saturday
Park Myung-hoon,Portrait of a Family
Park Myung-hoon,80 Billion Boy
Park Myung-hoon,One Win
Park Myung-hoon,Our Season
Park Myung-hoon,Decoy
Park Myung-hoon,The Night Owl
Park Myung-hoon,Limit
Lee Sun-kyun,Sleep
Lee Sun-kyun,The Land of Happiness
Lee Sun-kyun,Silence
Lee Sun-kyun,Payback: Money and Power
Lee Sun-kyun,Kingmaker
Lee Sun-kyun,Dr. Brain
Lee Sun-kyun,"Next Entertainment,  Visionary"
Lee Sun-kyun,My Dear Youth - Coffee Prince
Lee Sun-kyun,Our Little Summer Vacation
Lee Sun-kyun,Mr. Zoo: The Missing VIP
Lee Sun-kyun,Diary of a Prosecutor
Lee Sun-kyun,Trans-Siberian Pathfinders
Lee Sun-kyun,Parasite
Jang Hye-jin,Poetry
Jang Hye-jin,Marine Boy
Jang Hye-jin,Secret Sunshine
Jang Hye-jin,The Oscars
Lee Jung-eun,아무도 없는 숲속에서
Lee Jung-eun,Daily Dose of Sunshine
Jung Hyeon-jun,At Eighteen
Jung Hyeon-jun,Parasite
Jung Hyeon-jun,The Nokdu Flower
Jung Hyeon-jun,Through the Waves
Jung Hyeon-jun,You Are Too Much
Choi Woo-shik,The Princess and the Matchmaker
Choi Woo-shik,Golden Slumber
Choi Woo-shik,The Package
Choi Woo-shik,Okja
Choi Woo-shik,Fight For My Way
Choi Woo-shik,The Boy Next Door
Choi Woo-shik,Youn's Kitchen
Choi Woo-shik,Train to Busan
Cho Yeo-jeong,Hidden Face
Cho Yeo-jeong,Behind Every Star
Cho Yeo-jeong,High Class
Cho Yeo-jeong,SNL Korea
Cho Yeo-jeong,비움과 채움: 북유럽
Cho Yeo-jeong,"Cheat On Me, If You Can"
Park Myung-hoon,Europe Outside Your Tent
Park Myung-hoon,Money Heist: Korea - Joint Economic Area
Park Myung-hoon,EVE
Park Myung-hoon,The Policeman's Lineage
Park Myung-hoon,Ssanahee Sunjung
Park Myung-hoon,On the Line
Park Myung-hoon,Winter's Night
Park Myung-hoon,Deliver Us from Evil
Park Myung-hoon,Crash Landing on You
Park Myung-hoon,Parasite
Park Myung-hoon,Ash Flower
Park Myung-hoon,Let's Eat Dinner Together
Park Myung-hoon,Another Miss Oh
Park Myung-hoon,Steel Flower
Lee Sun-kyun,Jo Pil-ho: The Dawning Rage
Lee Sun-kyun,Take Point
Lee Sun-kyun,"My Room, Row 1"
Lee Sun-kyun,My Mister
Lee Sun-kyun,A Special Lady
Lee Sun-kyun,Man of Will
Lee Sun-kyun,The King's Case Note
Lee Sun-kyun,My Wife's Having an Affair This Week
Lee Sun-kyun,Let's Eat Dinner Together
Lee Sun-kyun,The Advocate: A Missing Body
Lee Sun-kyun,Three Meals a Day: Jeongseon Village
Lee Sun-kyun,A Hard Day
Lee Sun-kyun,Miss Korea
Lee Sun-kyun,Our Sunhi
Lee Sun-kyun,Nobody's Daughter Haewon
Lee Sun-kyun,Golden Time
Lee Sun-kyun,All About My Wife
Lee Sun-kyun,Baeksang Arts Awards
Lee Sun-kyun,Helpless
Lee Jung-eun,Yonder
Choi Woo-shik,My Fantastic Funeral
Choi Woo-shik,In the Room
Choi Woo-shik,Fool's Love
Choi Woo-shik,Big Match
Choi Woo-shik,Set Me Free
Choi Woo-shik,Pride and Prejudice
Choi Woo-shik,Fated to Love You
Choi Woo-shik,"Secretly, Greatly"
Choi Woo-shik,A Culprit Among Friends
Choi Woo-shik,Family
Choi Woo-shik,Shut Up Family
Choi Woo-shik,Rooftop Prince
Choi Woo-shik,Special Affairs Team TEN
Choi Woo-shik,Law of the Jungle
Choi Woo-shik,Tree with Deep Roots
Choi Woo-shik,Live In Style
Choi Woo-shik,"Etude, Solo"
Choi Woo-shik,The Duo
Choi Woo-shik,The Oscars
Cho Yeo-jeong,Woman of 9.9 Billion
Park Myung-hoon,Alive
Park Myung-hoon,Baeksang Arts Awards
Park Myung-hoon,Tidal Wave
Park Myung-hoon,Radio Star
Park Myung-hoon,The Oscars
Lee Sun-kyun,Officer of the Year
Lee Sun-kyun,Petty Romance
Lee Sun-kyun,Oki's Movie
Lee Sun-kyun,Running Man
Lee Sun-kyun,Our Slightly Risque Relationship
Lee Sun-kyun,Pasta
Lee Sun-kyun,Visitors
Lee Sun-kyun,Paju
Lee Sun-kyun,Lost in the Mountains
Lee Sun-kyun,Triple
Lee Sun-kyun,You Hee-yeol's Sketchbook
Lee Sun-kyun,Romantic Island
Lee Sun-kyun,Sorry Apple
Lee Sun-kyun,My Sweet City
Lee Sun-kyun,On Air
Lee Sun-kyun,Night and Day
Lee Jung-eun,The Woman in the White Car
Lee Jung-eun,Hommage
Lee Jung-eun,Take Care of My Mom
Lee Jung-eun,Our Blues
Lee Jung-eun,Seoul Check-in
Lee Jung-eun,Soundtrack #1
Lee Jung-eun,Juvenile Justice
Lee Jung-eun,Dust and Ashes
Lee Jung-eun,Law School
Lee Jung-eun,The Book of Fish
Lee Jung-eun,"Next Entertainment,  Visionary"
Lee Jung-eun,The Day I Died: Unclosed Case
Lee Jung-eun,Made on the Rooftop
Lee Jung-eun,Missing: The Other Side
Lee Jung-eun,House on Wheels
Lee Jung-eun,Once Again
Lee Jung-eun,A Piece of Your Mind
Cho Yeo-jeong,Surfing House
Cho Yeo-jeong,Parasite
Cho Yeo-jeong,Beautiful World
Cho Yeo-jeong,Drama Stage
Park Jae-wook,A Walk in the Woods
Park Jae-wook,Assassination Classroom
Park Jae-wook,Dead Space: Aftermath
Park Jae-wook,The Host
Lee Sun-kyun,Our Town
Lee Sun-kyun,Coffee Prince
Lee Sun-kyun,Behind the White Tower
Lee Sun-kyun,A Cruel Attendance
Lee Sun-kyun,The Customer Is Always Right
Lee Sun-kyun,The Path to Glory
Lee Sun-kyun,Loveholic
Lee Sun-kyun,R-Point
Lee Sun-kyun,"Love, So Divine"
Lee Sun-kyun,My Mother the Mermaid
Lee Sun-kyun,Thousand Years of Love
Lee Sun-kyun,Scent of Love
Lee Sun-kyun,Show Show Show
Lee Sun-kyun,Boss X File
Lee Sun-kyun,A Perfect Match
Lee Sun-kyun,Surprise Party
Lee Sun-kyun,Make It Big
Lee Jung-eun,"Hi Bye, Mama!"
Lee Jung-eun,My Holo Love
Lee Jung-eun,Mr. Zoo: The Missing VIP
Lee Jung-eun,Little America
Lee Jung-eun,When the Camellia Blooms
Lee Jung-eun,Strangers From Hell
Lee Jung-eun,How Do You Play?
Lee Jung-eun,AORB
Lee Jung-eun,Parasite
Lee Jung-eun,Let Us Meet Now
Lee Jung-eun,Hello
Lee Jung-eun,Another Child
Lee Jung-eun,The Light in Your Eyes
Lee Jung-eun,MAL·MO·E: The Secret Mission
Lee Jung-eun,Miss Baek
Lee Jung-eun,Conversation with Hee Yeol
Lee Jung-eun,Adulthood
Lee Jung-eun,Familiar Wife
Lee Jung-eun,Mr. Sunshine
Lee Jung-eun,David
Cho Yeo-jeong,Ms. Perfect
Cho Yeo-jeong,Love in the Moonlight
Lee Sun-kyun,The Oscars
Lee Jung-eun,Yakiniku Dragon
Lee Jung-eun,The Running Actress
Lee Jung-eun,A Taxi Driver
Lee Jung-eun,The Battleship Island
Lee Jung-eun,Okja
Lee Jung-eun,Fight For My Way
Lee Jung-eun,The Sheriff In Town
Lee Jung-eun,New Trial
Lee Jung-eun,Tomorrow with You
Lee Jung-eun,Weightlifting Fairy Kim Bok-Joo
Lee Jung-eun,The Gentlemen of Wolgyesu Tailor Shop
Lee Jung-eun,The Wailing
Lee Jung-eun,Pied Piper
Lee Jung-eun,Like for Likes
Lee Jung-eun,A Violent Prosecutor
Lee Jung-eun,Mood of the Day
Lee Jung-eun,The Exclusive: Beat the Devil's Tattoo
Lee Jung-eun,My Fantastic Funeral
Lee Jung-eun,Oh My Ghost
Lee Jung-eun,Cart
Cho Yeo-jeong,Babysitter
Cho Yeo-jeong,Divorce Lawyer in Love
Cho Yeo-jeong,Casa Amor: Exclusive for Ladies
Cho Yeo-jeong,A Week of Romance
Cho Yeo-jeong,Obsessed
Cho Yeo-jeong,The Target
Cho Yeo-jeong,Lovers of Haeundae
Cho Yeo-jeong,The Concubine
Cho Yeo-jeong,Law of the Jungle
Cho Yeo-jeong,I Need Romance
Cho Yeo-jeong,The Servant
Cho Yeo-jeong,The Road Home
Cho Yeo-jeong,We Got Married
Cho Yeo-jeong,Vampire Cop Ricky
Cho Yeo-jeong,A Problem at My Younger Brother's House
Cho Yeo-jeong,South Of the Sun
Cho Yeo-jeong,A Perfect Match
Cho Yeo-jeong,Popopo
Cho Yeo-jeong,The Oscars
Lee Jung-eun,High School King of Savvy
Lee Jung-eun,A Girl at My Door
Lee Jung-eun,The Attorney
Lee Jung-eun,The Queen’s Classroom
Lee Jung-eun,Born To Sing
Lee Jung-eun,Home Alone
Lee Jung-eun,Baeksang Arts Awards
Lee Jung-eun,KBS Drama Special
Lee Jung-eun,Mother
Lee Jung-eun,Wanee & Junah
Lee Jung-eun,A Masterpiece in My Life
Lee Jung-eun,The Oscars
